Symbol,Name,Last Sale,Net Change,% Change,MarketCap,Country,IPO Year,Volume,Sector,Industry
NTIP,Network-1 Technologies Inc. Common Stock,$2.20,-0.01,-0.452%,52398511.00,United States,,10406,Technology,Interactive Media
OBE,Obsidian Energy Ltd. Common Shares,$6.89,-0.14,-1.991%,568026827.00,,2022,597601,,
OGEN,Oragenics Inc. Common Stock,$3.3135,0.0635,1.954%,6708701.00,United States,,4656,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.5446,0.0035,0.647%,30613996.00,United States,2007,69789,Industrials,Industrial Machinery/Components
ORLA,Orla Mining Ltd. Common Shares,$4.76,-0.06,-1.245%,1459703556.00,,2020,333984,,
OZ,Belpointe PREP LLC Class A Units,$92.8001,-0.0299,-0.032%,326976420.00,,,3263,,
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$22.27,0.07,0.315%,,United States,,2813,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.74,0.03,0.152%,,United States,,3182,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$18.05,0.00,0.00%,,United States,,737,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.75,0.20,1.14%,,United States,,410,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.75,0.23,1.313%,,United States,,229,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$17.18,0.08,0.468%,,United States,,100,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$17.49,0.7675,4.59%,,United States,,625,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$15.6624,0.00,0.00%,,United States,,10,,
PED,Pedevco Corp. Common Stock,$0.94,-0.0201,-2.094%,81817851.00,United States,,203247,,
PHGE,BiomX Inc. COmmon Stock,$0.31,-0.0001,-0.032%,10286350.00,,2019,716522,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$0.4799,-0.0169,-3.402%,34592118.00,China,,1125,,
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.68,-0.0567,-3.265%,168346157.00,Canada,,236020,,
PLM,Polymet Mining Corporation Ordinary Shares (Canada),$2.03,-0.01,-0.49%,394704063.00,Canada,,32819,,
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$2.42,-0.02,-0.82%,138861972.00,Israel,,1105100,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLYM^A,Plymouth Industrial REIT Inc. 7.50% Series A Cumulative Redeemable Preferred Stock,$25.15,0.00,0.00%,,United States,,1104,,
POL,Polished Inc. Common Stock,$0.452,-0.0246,-5.162%,47563000.00,United States,2020,231113,Consumer Discretionary,Other Specialty Stores
PRK,Park National Corporation Common Stock,$109.62,2.91,2.727%,1782813968.00,United States,1994,37932,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$2.68,0.03,1.132%,29889182.00,United States,1999,162182,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$3.24,-0.0541,-1.642%,10982502.00,United States,1998,5356,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$6.00,0.25,4.348%,,United States,,1055,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.3625,-0.016,-4.227%,17519393.00,United States,2015,74645,Basic Materials,Precious Metals
RCG,RENN Fund Inc Common Stock,$1.75,-0.05,-2.778%,12277626.00,United States,,5968,Finance,Investment Managers
